Title,Author,Rating,Language,Rating Count,Release Date,Genre,Rating Count Scaled,Rating Count Weighted
The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,eng,2877,1996,"Science Fiction;Fiction;Humor;Fantasy;Classics;Humor,Comedy;Science Fiction Fantasy;Adventure;Novels;European Literature,British Literature",0.000604015255028422,0.604015255028422
A Short History of Nearly Everything,Bill Bryson,4.21,eng,248558,2004,"Nonfiction;Science;History;Audiobook;Humor;Science,Physics;Science,Popular Science;Historical;Philosophy;Unfinished",0.0540412035411781,54.0412035411781
Bill Bryson's African Diary,Bill Bryson,3.44,eng,7270,2002,"Travel;Nonfiction;Cultural,Africa;Autobiography,Memoir;Humor;Eastern Africa,Kenya;Biography;Adventure;Travel,Travelogue;History",0.00155952084211515,1.55952084211515
Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.87,eng,2088,2004,"Nonfiction;Language,Writing;Humanities,Language;Reference;Humanities,Linguistics;Humor;Language,Words;Reference,Dictionaries;History;Writing,Books About Books",0.000432402710477675,0.432402710477675
In a Sunburned Country,Bill Bryson,4.07,eng,72451,2001,"Travel;Nonfiction;Humor;Cultural,Australia;Autobiography,Memoir;Audiobook;History;Adventure;Biography;Travel,Travelogue",0.0157368050833854,15.7368050833854
I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.9,eng,49240,2000,"Nonfiction;Travel;Humor;Autobiography,Memoir;Writing,Essays;Biography;Audiobook;Literature,American;The United States Of America;Humor,Comedy",0.0106882641815256,10.6882641815256
The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,eng,45712,1990,"Travel;Nonfiction;Humor;Autobiography,Memoir;Audiobook;Literature,American;Biography;The United States Of America;Travel,Travelogue;Humor,Comedy",0.00992090162490326,9.92090162490326
Neither Here nor There: Travels in Europe,Bill Bryson,3.86,eng,48701,1993,"Travel;Nonfiction;Humor;Autobiography,Memoir;Biography;Audiobook;Travel,Travelogue;Adventure;Writing,Essays;Humor,Comedy",0.010571028235375,10.571028235375
Notes from a Small Island,Bill Bryson,3.91,eng,80609,1997,"Travel;Nonfiction;Humor;Autobiography,Memoir;European Literature,British Literature;Biography;Audiobook;Humor,Comedy;History;Travel,Travelogue",0.0175112222423778,17.5112222423778
The Mother Tongue: English and How It Got That Way,Bill Bryson,3.93,eng,28489,1991,"Nonfiction;History;Humanities,Language;Humanities,Linguistics;Humor;Audiobook;Language,Writing;Travel;Reference;Science",0.00617478900792289,6.17478900792289
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,eng,101233,2012,"Fantasy;Fiction;Classics;Adventure;Science Fiction Fantasy;Fantasy,Epic Fantasy;Fantasy,High Fantasy;Young Adult;Literature;Fantasy,Magic",0.0219970741039933,21.9970741039933
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5,eng,1710,2004,"Fantasy;Classics;Fiction;Adventure;Science Fiction Fantasy;Fantasy,Epic Fantasy;Fantasy,High Fantasy;Literature;Novels;Young Adult",0.000350185293696708,0.350185293696708
The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.36,eng,2128944,2003,"Fantasy;Classics;Fiction;Adventure;Fantasy,High Fantasy;Science Fiction Fantasy;Fantasy,Epic Fantasy;Audiobook;Young Adult;Novels",0.463037180977935,463.037180977935
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,4.5,en-US,1618,2002,"Fantasy;Classics;Fiction;Adventure;Science Fiction Fantasy;Fantasy,Epic Fantasy;Fantasy,High Fantasy;Literature;Novels;Young Adult",0.000330174705485468,0.330174705485468
The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,4.53,eng,19822,2003,"Fantasy;Art;Fiction;Reference;Media Tie In;Culture,Film;Classics;Adventure;Fantasy,High Fantasy;Adult",0.00428966109458788,4.28966109458788
The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.5,eng,359,2004,"Fantasy;Reference;Media Tie In;Culture,Film",5.63341559425139E-05,0.0563341559425139
Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,3.84,eng,1430,2005,"Computer Science,Programming;Nonfiction;Science,Technology;Computer Science,Technical;Reference;Computer Science,Computers;Computer Science,Software;Science,Computer Science;Internet,Web;Computer Science,Coding",0.000289283503488585,0.289283503488585
Hatchet (Brian's Saga  #1),Gary Paulsen,3.72,eng,270244,2000,"Young Adult;Fiction;Classics;Adventure;Adventure,Survival;Childrens,Middle Grade;Childrens;Academic,School;Realistic Fiction;Academic,Read For School",0.0587580471927972,58.7580471927972
Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.88,eng,2067,2001,"Nonfiction;Biography;Adventure;Adventure,Survival;Autobiography,Memoir;Biography,Autobiography;Childrens;Childrens,Middle Grade;Biography Memoir;Academic,School",0.000427835076212065,0.427835076212065
A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,3.76,eng,167,2005,"Romance;Fantasy,Paranormal;Anthologies;Adult Fiction,Erotica;Romance,Paranormal Romance;Fantasy;Paranormal,Shapeshifters;Fiction;Romance,Erotic Romance",1.45729283712295E-05,0.0145729283712295
Changeling (Changeling  #1),Delia Sherman,3.6,eng,978,2006,"Fantasy;Young Adult;Fantasy,Urban Fantasy;Fiction;Paranormal,Fairies;Childrens,Middle Grade;Childrens;Adventure;Fairies,Fae;Fantasy,Magic",0.000190970613581186,0.190970613581186
The Changeling Sea,Patricia A. McKillip,4.06,eng,4454,2003,"Fantasy;Young Adult;Romance;Fiction;Fantasy,Magic;Mythology,Mermaids;Fantasy,High Fantasy;Fantasy,Fairy Tales;Young Adult,Young Adult Fantasy;Science Fiction Fantasy",0.000947022837736315,0.947022837736315
The Changeling,Zilpha Keatley Snyder,4.17,eng,1176,2004,"Fiction;Young Adult;Fantasy;Childrens;Childrens,Middle Grade;Childrens,Juvenile;Fantasy,Magic;Classics;Young Adult,Coming Of Age;Novels",0.000234036879514073,0.234036879514073
The Changeling,Kate Horsley,3.55,eng,301,2005,"Historical,Historical Fiction;Fiction;Fantasy;Cultural,Ireland;Historical;Literature,14th Century;Historical,Medieval;Literary Fiction;European Literature,Irish Literature;LGBT",4.37187851136884E-05,0.0437187851136884
The Changeling (Daughters of England  #15),Philippa Carr,3.98,eng,345,1990,"Historical,Historical Fiction;Romance;Fiction;Romance,Historical Romance;Historical;European Literature,British Literature;Gothic;Mystery;Literature,19th Century;Adult",5.32890664321078E-05,0.0532890664321078
The Known World,Edward P. Jones,3.83,eng,29686,2006,"Historical,Historical Fiction;Fiction;Cultural,African American;Historical;Literature;Novels;Literary Fiction;Book Club;Race;Literature,American",0.00643514416106261,6.43514416106261
Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,eng,1456,2006,"Economics,Finance;Economics;Business;Nonfiction;Currency,Money;Politics;History",0.000294938669722197,0.294938669722197
The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,4.42,eng,562,1982,"Nonfiction;Writing,Essays;Writing,Journalism;History;Science;Environment,Nature;Language,Writing;Anthologies,Collections;Literature;Travel",0.000100487953843403,0.100487953843403
Uncommon Carriers,John McPhee,3.95,en-US,1630,2006,"Nonfiction;Writing,Essays;Travel;History;Transport;Business;Economics;Science;Writing,Journalism;Literature",0.000332784782208673,0.332784782208673
Heirs of General Practice,John McPhee,4.17,eng,268,1986,"Nonfiction;Health,Medicine;Medical;Biography;Writing,Essays;Health;History;Science",3.65410741248739E-05,0.0365410741248739
The Control of Nature,John McPhee,4.24,en-US,3498,1990,"Nonfiction;Science;Environment,Nature;History;Environment;Writing,Essays;Science,Geology;Science,Natural History;Science,Engineering;Science,Geography",0.000739086725454295,0.739086725454295
Annals of the Former World,John McPhee,4.34,eng,3115,1999,"Science;Nonfiction;Science,Geology;History;Environment,Nature;Travel;Science,Natural History;Science,Geography;Writing,Essays;Environment",0.000655781776705326,0.655781776705326
Coming Into the Country,John McPhee,4.22,eng,5704,1991,"Nonfiction;Travel;Environment,Nature;History;Science;Environment;Adventure;Writing,Essays;Science,Natural History;Autobiography,Memoir",0.00121890582973687,1.21890582973687
La Place de la Concorde Suisse,John McPhee,3.92,fre,698,1994,"Nonfiction;History;Travel;Writing,Essays;War;War,Military Fiction;Military,Military History;Writing,Journalism;Politics",0.000130068823373063,0.130068823373063
Giving Good Weight,John McPhee,4.23,eng,542,1994,"Nonfiction;Writing,Essays;Language,Writing;Writing,Journalism;Food and Drink;History;Food and Drink,Food;Short Stories",9.61378259713944E-05,0.0961378259713944
Rising from the Plains,John McPhee,4.23,eng,1341,1987,"Nonfiction;Science;Science,Geology;History;Environment,Nature;Travel;Biography;Science,Natural History;Science,Geography;Environment",0.000269925434458146,0.269925434458146
The Heidi Chronicles,Wendy Wasserstein,3.75,eng,1423,2002,"Plays;Drama;Fiction;Plays,Theatre;Feminism;Academic,Read For School;Contemporary;Womens;Literature,American;Audiobook",0.000287760958733382,0.287760958733382
The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.84,eng,2766,1991,"Plays;Drama;Plays,Theatre;Fiction;Feminism;Humor;Adult;Literature,20th Century;Literature,American;Classics",0.000579872045338773,0.579872045338773
Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,4.46,eng,860,2003,"Christian;Biography;Nonfiction;Religion,Faith;Religion,Christianity;Spirituality;Biography,Autobiography;Christian,Christian Non Fiction;Christian,Christian Living;Inspirational",0.000165304859136334,0.165304859136334
Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,3.99,eng,153317,2002,"Classics;Fiction;Childrens;Young Adult;Historical,Historical Fiction;Childrens,Middle Grade;Historical;Childrens,Juvenile;Childrens,Childrens Classics;Literature,19th Century",0.0333256771082786,33.3256771082786
What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,3.89,eng,11797,2003,Parenting;Nonfiction;Reference;Self Help;Health;Family;Childrens;Adult;Unfinished;Education,0.00254417228594435,2.54417228594435
God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.84,eng,2785,1987,"Science Fiction;Fiction;Fantasy;Science Fiction Fantasy;Classics;Space,Space Opera;Novels;Audiobook;Philosophy;Space",0.000584004666817181,0.584004666817181
Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.91,eng,38778,1987,"Science Fiction;Fiction;Fantasy;Science Fiction Fantasy;Classics;Space,Space Opera;Audiobook;Space;Adventure;Novels",0.00841271229167782,8.41271229167782
Dune Messiah (Dune Chronicles #2),Frank Herbert,3.88,eng,97494,1987,"Science Fiction;Fiction;Fantasy;Classics;Science Fiction Fantasy;Space,Space Opera;Audiobook;Novels;Speculative Fiction;Space",0.0211838176983212,21.1838176983212
Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4.01,en-US,784,2004,"Biography;Nonfiction;Science Fiction Fantasy;Biography,Autobiography;Autobiography,Memoir;Philosophy;Biography Memoir",0.000148774373222701,0.148774373222701
Heretics of Dune (Dune Chronicles  #5),Frank Herbert,3.86,eng,272,1984,"Science Fiction;Fiction;Fantasy;Science Fiction Fantasy;Classics;Space,Space Opera;Audiobook;Novels;Space;Speculative Fiction",3.74110996992757E-05,0.0374110996992757
The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,3.88,eng,4789,2006,"Science Fiction;Fiction;Fantasy;Science Fiction Fantasy;Space,Space Opera;Short Stories;Anthologies;Audiobook;Anthologies,Collections;Space",0.00101988747959246,1.01988747959246
Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.86,eng,45388,1987,"Science Fiction;Fiction;Fantasy;Science Fiction Fantasy;Classics;Space,Space Opera;Audiobook;Novels;Space;Speculative Fiction",0.00985042955337672,9.85042955337672
The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,4.59,eng,26153,2002,"Fantasy;Art;Fiction;Classics;Culture,Film;Media Tie In;Fantasy,High Fantasy;Adventure;Science Fiction Fantasy;Adult",0.00566669407247226,5.66669407247226
The Power of One (The Power of One  #1),Bryce Courtenay,4.35,eng,69167,1996,"Fiction;Historical,Historical Fiction;Cultural,Africa;Classics;Southern Africa,South Africa;Young Adult,Coming Of Age;Historical;Young Adult;Novels;Literature",0.0150225140868016,15.0225140868016
Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,3.34,eng,174,2006,Business;Nonfiction;Self Help;Productivity;Leadership;Audiobook,1.60954731264326E-05,0.0160954731264326
eBay for Dummies,Marsha Collier,3.5,eng,111,2006,"Reference;Nonfiction;Business;Computer Science,Computers;How To;Science,Technology;Computers,Internet",2.39257032960484E-06,0.00239257032960484
Ruby Cookbook,Lucas Carlson/Leonard Richardson,3.84,eng,166,2006,"Computer Science,Programming;Computer Science,Computers;Computer Science,Coding;Computer Science,Software;Science,Technology;Nonfiction;Reference;Science,Computer Science;Computer Science,Technical",1.4355421977629E-05,0.014355421977629
Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,4.05,eng,16643,2004,"Classics;Fiction;Romance;Cultural,Russia;Historical,Historical Fiction;Literature,Russian Literature;Literature;Novels;Literature,19th Century;Historical",0.00359820826933208,3.59820826933208
Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,4.05,eng,109420,2002,"Classics;Fiction;Romance;Cultural,Russia;Historical,Historical Fiction;Literature,Russian Literature;Literature;Novels;Literature,19th Century;Historical",0.0237777989484001,23.7777989484001
Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,4.05,eng,2904,2003,"Classics;Fiction;Romance;Cultural,Russia;Historical,Historical Fiction;Literature,Russian Literature;Literature;Novels;Literature,19th Century;Historical",0.000609887927655633,0.609887927655633
Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,4.05,eng,9564,2003,"Classics;Fiction;Romance;Cultural,Russia;Historical,Historical Fiction;Literature,Russian Literature;Literature;Novels;Literature,19th Century;Historical",0.00205848050903456,2.05848050903456
Anna Karenina,Leo Tolstoy/Louise Maude/Aylmer Maude,4.05,eng,474,2004,"Classics;Fiction;Romance;Cultural,Russia;Historical,Historical Fiction;Literature,Russian Literature;Literature;Novels;Literature,19th Century;Historical",8.13473912065645E-05,0.0813473912065645
Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker,4.05,eng,303,2004,"Classics;Fiction;Romance;Cultural,Russia;Historical,Historical Fiction;Literature,Russian Literature;Literature;Novels;Literature,19th Century;Historical",4.41537979008893E-05,0.0441537979008893
Dinner with Anna Karenina,Gloria Goldreich,2.99,eng,411,2006,"Fiction;Writing,Books About Books;Contemporary;Womens;Womens Fiction,Chick Lit;The United States Of America;Novels;Womens Fiction",6.76444884097368E-05,0.0676444884097368
Tolstoy: Anna Karenina,Anthony Thorlby,4.19,eng,1204,1987,"Classics;Fiction;Literature,Russian Literature;Literature;Cultural,Russia;Novels;Unfinished;Criticism",0.000240127058534886,0.240127058534886
Untouchable,Mulk Raj Anand/E.M. Forster,3.71,eng,3429,1990,"Cultural,India;Fiction;Classics;Historical,Historical Fiction;Asian Literature,Indian Literature;Cultural,Asia;Literature;Novels;Academic,School;Historical",0.000724078784295864,0.724078784295864
The Untouchable,John Banville,3.95,eng,2163,1998,"Fiction;Historical,Historical Fiction;Cultural,Ireland;Spy Thriller,Espionage;Novels;European Literature,Irish Literature;Literature;Literary Fiction;European Literature,British Literature;Contemporary",0.000448715689997708,0.448715689997708
The Untouchables,Eliot Ness/Oscar Fraley,3.89,eng,613,1996,"Nonfiction;History;Crime,True Crime;Mystery,Crime;Autobiography,Memoir;Biography;Media Tie In;North American Hi...,American History;Biography,Autobiography;Biography Memoir",0.000111580779917026,0.111580779917026
Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,3.82,en-US,308,2005,"Cultural,India;Nonfiction;Biography Memoir;Autobiography,Memoir;History;Biography;Biography,Autobiography;Social Movements,Social Justice;Historical;Anthropology",4.52413298688915E-05,0.0452413298688915
Wrinkles in Time,George Smoot/Keay Davidson,4.01,eng,1035,1994,"Science;Science,Physics;Nonfiction;Science,Astronomy;History;Biography;Science,History Of Science;Science,Popular Science;Space",0.000203368478016411,0.203368478016411
The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,4.12,eng,376,1994,"Historical,Historical Fiction;Historical;Fiction;European Literature,British Literature;Romance;Historical,Stuart;Literature,17th Century;Romance,Historical Romance",6.00317646337214E-05,0.0600317646337214
A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,4.11,eng,3086,2006,"Mystery;Historical,Historical Fiction;Fiction;Mystery,Historical Mystery;Historical;European Literature,British Literature;Mystery,Crime;Thriller,Mystery Thriller;Mystery,Detective;Audiobook",0.000649474091290914,0.649474091290914
Long Way Round: Chasing Shadows Across the World,Ewan McGregor/Charley Boorman/Robert Uhlig,3.94,en-US,352,2005,"Travel;Nonfiction;Adventure;Biography;Autobiography,Memoir;Transport,Motorcycle;Travel,Travelogue;Biography,Autobiography;Biography Memoir;Sports,Motorcycling",5.48116111873109E-05,0.0548116111873109
A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,3.6,eng,9852,2006,"Fantasy;Fiction;Fantasy,Epic Fantasy;Fantasy,High Fantasy;Science Fiction Fantasy;Science Fiction,Steampunk;Science Fiction;Fantasy,Magic;Speculative Fiction;Epic",0.00212112235039149,2.12112235039149
New Hope for the Dead (Hoke Mosely #2),Charles Willeford/James Lee Burke,3.9,eng,821,2004,"Mystery,Crime;Fiction;Mystery;Mystery,Noir;Thriller;Novels;Mystery,Detective;Mystery,Hard Boiled;The United States Of America;Literature,American",0.000156822109785917,0.156822109785917
Sideswipe: A Hoke Moseley Novel,Charles Willeford/Lawrence Block,4.05,eng,731,2005,"Mystery,Crime;Fiction;Mystery,Noir;Mystery;Mystery,Hard Boiled;Thriller;Mystery,Detective;Literature,American;Thriller,Mystery Thriller;Adult",0.000137246534361878,0.137246534361878
Miami Blues (Hoke Moseley #1),Charles Willeford/Elmore Leonard,3.94,eng,2897,2004,"Mystery,Crime;Fiction;Mystery;Mystery,Noir;Mystery,Detective;Thriller;Novels;Mystery,Hard Boiled;Literature,American;The United States Of America",0.00060836538290043,0.60836538290043
I am Charlotte Simmons,Tom Wolfe,3.42,eng,20888,2005,"Fiction;Novels;Contemporary;Academic,College;Literary Fiction;Young Adult,Coming Of Age;Literature;Literature,American;Audiobook;Young Adult",0.00452152291016594,4.52152291016594
Henry Miller on Writing,Henry Miller/Thomas H. Moore,4.22,eng,981,1964,"Language,Writing;Nonfiction;Biography;Writing,Essays;Literature;Philosophy;Literature,American;Classics;Reference;Literature,20th Century",0.000191623132761988,0.191623132761988
Quiet Days in Clichy,Henry Miller,3.69,eng,3381,1994,"Fiction;Literature;Classics;Novels;Adult Fiction,Erotica;Literature,American;Literature,20th Century;Cultural,France;The United States Of America;Classics,Modern Classics",0.000713638477403043,0.713638477403043
Tropic of Cancer,Henry Miller/Jiří Níl,3.68,eng,53206,1994,"Fiction;Classics;Literature;Novels;Literature,American;Literature,Banned Books;Adult Fiction,Erotica;Literature,20th Century;Literary Fiction;Cultural,France",0.011550894538545,11.550894538545
Tropic of Capricorn,Henry Miller,3.78,eng,14872,1994,"Fiction;Classics;Literature;Novels;Literature,American;Adult Fiction,Erotica;The United States Of America;Literary Fiction;Literature,Banned Books;Sexuality",0.0032130044462657,3.2130044462657
Nexus (The Rosy Crucifixion  #3),Henry Miller,4.1,eng,3261,1994,"Fiction;Literature;Classics;Novels;Literature,American;Adult Fiction,Erotica;The United States Of America;Literature,20th Century;Literary Fiction;Contemporary",0.00068753771017099,0.68753771017099
Sexus (The Rosy Crucifixion  #1),Henry Miller,3.98,eng,7805,1994,"Fiction;Classics;Literature;Novels;Adult Fiction,Erotica;Literature,American;Literature,20th Century;The United States Of America;Roman;Sexuality",0.00167588676269139,1.67588676269139
The Air-Conditioned Nightmare,Henry Miller,3.83,eng,2699,1970,"Fiction;Travel;Literature;Writing,Essays;Classics;Novels;The United States Of America;Literature,American;Literature,20th Century;American,Americana",0.000565299116967543,0.565299116967543
The Portrait of a Lady,Henry James/Patricia Crick,3.78,eng,61640,2003,"Classics;Fiction;Literature;Literature,19th Century;Novels;Historical,Historical Fiction;Romance;Literature,American;Classics,Classic Literature;Historical,Victorian",0.0133853434621711,13.3853434621711
The Portrait of a Lady,Henry James/Gabriel Brownstein/Mary Cregan,3.78,eng,392,2004,"Classics;Fiction;Literature;Literature,19th Century;Novels;Historical,Historical Fiction;Romance;Literature,American;Classics,Classic Literature;Historical,Victorian",6.35118669313284E-05,0.0635118669313284
Writing,Marguerite Duras,3.75,eng,778,1999,"Nonfiction;Language,Writing;Cultural,France;Writing,Essays;Literature;Womens;European Literature,French Literature;Short Stories;Biography;Academic,School",0.000147469334861098,0.147469334861098
The War,Marguerite Duras/Barbara Bray,3.85,eng,963,1994,"Cultural,France;Nonfiction;Autobiography,Memoir;History;War;European Literature,French Literature;War,World War II;Biography;Biography Memoir;Biography,Autobiography",0.00018770801767718,0.18770801767718
The Ravishing of Lol Stein,Marguerite Duras/Richard Seever,3.66,en-US,2057,1986,"Fiction;Cultural,France;Classics;European Literature,French Literature;Novels;Literature;Literary Fiction;Roman;Literature,20th Century;Womens",0.000425660012276061,0.425660012276061
Love Letters,Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari,3.68,eng,203,1999,Poetry;Nonfiction;Romance,2.24031585408453E-05,0.0224031585408453
The Beloved: Reflections on the Path of the Heart,Kahlil Gibran/John Walbridge/Robin Waterfield,4.19,eng,328,1998,Poetry;Philosophy;Classics;Fiction;Literature;Spirituality;Romance,4.95914577409003E-05,0.0495914577409003
Jesus the Son of Man,Kahlil Gibran/جبران خليل جبران,3.98,eng,1308,1995,"Poetry;Religion;Fiction;Philosophy;Classics;Spirituality;Literature;Religion,Christianity;Christian;Religion,Theology",0.000262747723469331,0.262747723469331
The Broken Wings,Kahlil Gibran/جبران خليل جبران/Anthony Rizcallah Ferris,3.92,eng,6432,2003,"Classics;Poetry;Fiction;Romance;Novels;Philosophy;Literature;Spirituality;Cultural,Lebanon;Short Stories",0.00137725048427799,1.37725048427799
Sand and Foam,Kahlil Gibran/جبران خليل جبران,4.08,eng,3015,2011,"Poetry;Philosophy;Classics;Fiction;Literature;Spirituality;Religion;Literature,20th Century;Cultural,Lebanon;Audiobook",0.000634031137345282,0.634031137345282
Treasure Island,Robert Louis Stevenson,3.83,eng,318753,2001,"Classics;Fiction;Adventure;Historical,Historical Fiction;Young Adult;Childrens;Adventure,Pirates;Literature;Fantasy;Novels",0.069309064839961,69.309064839961
Treasure Island,Robert Louis Stevenson/Scott McKowen,3.83,en-US,420,2004,"Classics;Fiction;Adventure;Historical,Historical Fiction;Young Adult;Childrens;Adventure,Pirates;Literature;Fantasy;Novels",6.96020459521408E-05,0.0696020459521408
Treasure Island,Robert Louis Stevenson,3.83,eng,5967,2005,"Classics;Fiction;Adventure;Historical,Historical Fiction;Young Adult;Childrens;Adventure,Pirates;Literature;Fantasy;Novels",0.00127611001125378,1.27611001125378
Treasure Island,Robert Louis Stevenson/N.C. Wyeth/Timothy Meis,3.83,eng,104,2003,"Classics;Fiction;Adventure;Historical,Historical Fiction;Young Adult;Childrens;Adventure,Pirates;Literature;Fantasy;Novels",8.70025574401761E-07,0.000870025574401761
On Beyond Zebra!,Dr. Seuss,4.04,eng,2815,1955,"Childrens,Picture Books;Childrens;Fiction;Poetry;Classics;Animals;Humor;Fantasy;Childrens,Juvenile;Academic,School",0.000590529858625194,0.590529858625194
The Zebra Wall,Kevin Henkes,3.44,eng,217,2005,"Realistic Fiction;Childrens,Middle Grade;Childrens;Fiction;Young Adult",2.54482480512515E-05,0.0254482480512515
El perfume: Historia de un asesino,Patrick Süskind,4.02,spa,4136,2002,"Fiction;Classics;Historical,Historical Fiction;Horror;Mystery;Thriller;Mystery,Crime;European Literature,German Literature;Historical;Novels",0.000877855804571375,0.877855804571375
The Door Into Summer,Robert A. Heinlein,4.01,eng,17232,1997,"Science Fiction;Fiction;Science Fiction,Time Travel;Science Fiction Fantasy;Fantasy;Classics;Speculative Fiction;Audiobook;Adventure;Novels",0.00372631953516274,3.72631953516274
